FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_DESCR,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,state_descriptions,geographic_areas_code,geographic_areas_desc,CAUSES,MONTH
2003,2452855.5,216,1000.0,Campfire,1.0,B,60.48361111,-149.9072222,AK,Alaska,AK,Alaska,Human,Aug
1999,2451443.5,265,,Arson,32.0,C,33.7828,-87.2592,AL,Alabama,SA,Southern Area,Human,Sep
1998,2451061.5,248,,Arson,2.0,B,35.9703,-94.3561,AR,Arkansas,SA,Southern Area,Human,Sep
1996,2450233.5,151,1441.0,Miscellaneous,3.0,B,33.2723,-112.1674,AZ,Arizona,SW,Southwest,Undefined,May
2006,2454007.5,272,1117.0,Equipment Use,0.5,B,34.25166667,-117.4208333,CA,California,CA,California,Human,Sep
2005,2453586.5,216,,Missing/Undefined,0.2,A,39.22634171,-108.109526,CO,Colorado,RM,Rocky Mountain,Undefined,Aug
1993,2449190.5,203,1200.0,Miscellaneous,6.0,B,41.9233,-73.35331,CT,Connecticut,,National,Undefined,Jul
1998,2450900.5,87,2141.0,Miscellaneous,0.4,B,38.94847,-77.0041,DC,District of Columbia,,National,Undefined,Mar
1992,2448753.5,132,1620.0,Arson,3.0,B,38.78333333,-75.2,DE,Delaware,EA,Eastern Area,Human,May
2001,2452073.5,164,,Railroad,2.0,B,28.4119,-82.5758,FL,Florida,SA,Southern Area,Human,Jun
2009,2455012.5,181,,Arson,1.55,B,34.71599666,-85.29277879,GA,Georgia,SA,Southern Area,Human,Jun
2005,2453375.5,5,1250.0,Smoking,0.1,A,20.7831,-156.2397,HI,Hawaii,CA,California,Human,Jan
2004,2453100.5,96,1700.0,Arson,0.3,B,41.22611111,-91.10638889,IA,Iowa,NR,Northern Rockies,Human,Apr
2005,2453485.5,115,,Missing/Undefined,2.0,B,44.70361001,-116.0141,ID,Idaho,GB,Great Basin,Undefined,Apr
1992,2448726.5,105,1300.0,Smoking,22.1,C,37.83833333,-89.48833333,IL,Illinois,NR,Northern Rockies,Human,Apr
2000,2451554.5,11,1550.0,Debris Burning,30.0,C,39.05,-86.11666667,IN,Indiana,NR,Northern Rockies,Human,Jan
1999,2451274.5,96,1930.0,Debris Burning,118.4,D,38.31666667,-95.88333333,KS,Kansas,SA,Southern Area,Human,Apr
2008,2454696.5,231,1700.0,Lightning,160.0,D,36.92527778,-84.20138889,KY,Kentucky,SA,Southern Area,Lightning,Aug
1998,2450958.5,145,,Miscellaneous,7.0,B,30.5892,-92.7817,LA,Louisiana,SA,Southern Area,Undefined,May
2002,2452467.5,193,,Lightning,11.0,C,42.06,-72.5,MA,Massachusetts,,National,Lightning,Jul
2008,2454695.5,230,,Debris Burning,0.8,B,38.11439,-76.4157,MD,Maryland,EA,Eastern Area,Human,Aug
